Time,HR,BR,Posture,Activity,Stress
09:18:10.427,65,8.1,100,0.81,0
09:18:11.427,65,8.1,125,0.72,0
09:18:12.427,65,7.3,137,0.39,0
09:18:13.427,65,7.3,142,0.40,0
09:18:14.427,65,6.6,135,0.29,0
09:18:15.427,65,6.6,138,0.45,0
09:18:16.427,65,6.9,154,0.86,0
09:18:17.427,0,6.9,161,0.39,0
09:18:18.427,0,7.2,166,0.40,0
09:18:19.427,0,7.2,-166,0.44,0
09:18:20.427,0,7.6,155,0.65,0
09:18:21.427,57,7.6,173,0.60,0
09:18:22.427,53,8.0,171,0.43,0
09:18:23.427,51,8.0,175,0.44,0
09:18:24.427,51,8.3,172,0.18,0
09:18:25.427,50,8.3,168,0.12,0
09:18:26.427,50,8.7,166,0.07,0
09:18:27.427,50,8.7,165,0.12,0
09:18:28.427,50,9.0,166,0.11,0
09:18:29.427,50,9.0,166,0.03,0
09:18:30.427,50,9.3,166,0.03,0
09:18:31.427,0,9.3,166,0.03,0
09:18:32.427,0,9.6,166,0.04,0
09:18:33.427,0,9.6,167,0.03,0
09:18:34.427,60,9.9,166,0.04,0
09:18:35.427,64,9.9,167,0.10,0
09:18:36.427,73,9.2,167,0.04,0
09:18:37.427,77,9.2,169,0.06,0
09:18:38.427,70,8.9,-169,0.06,0
09:18:39.427,67,8.9,-170,0.10,0
09:18:40.427,66,8.9,-170,0.17,0
09:18:41.427,65,8.9,-174,0.20,0
09:18:42.427,65,9.5,-175,0.11,0
09:18:43.427,65,9.5,-172,0.11,0
09:18:44.427,65,10.7,-170,0.09,0
09:18:45.427,64,10.7,-170,0.08,0
09:18:46.427,64,11.7,-169,0.04,0
09:18:47.427,64,11.7,-167,0.09,0
09:18:48.427,64,13.2,-165,0.06,0
09:18:49.427,64,13.2,-165,0.04,0
09:18:50.427,64,14.6,-168,0.09,0
09:18:51.427,64,14.6,-168,0.04,0
09:18:52.427,64,15.8,-172,0.17,0
09:18:53.427,64,15.8,-173,0.16,0
09:18:54.427,64,17.5,-172,0.16,0
09:18:55.427,64,17.5,172,0.19,0
09:18:56.427,64,19.4,-173,0.18,0
09:18:57.427,64,19.4,-172,0.15,0
09:18:58.427,64,21.0,-172,0.05,0
09:18:59.427,65,21.0,-170,0.02,0.0147089158226573
09:19:00.427,66,22.2,-172,0.03,0.0156280509241002
09:19:01.427,71,22.2,-173,0.03,0.0165574857802935
09:19:02.427,76,23.0,-173,0.02,0.0174946259269258
09:19:03.427,78,23.0,-173,0.11,0.0184368458732008
09:19:04.427,79,23.7,-173,0.02,0.0193814996737616
09:19:05.427,80,23.7,-173,0.02,0.0203259315829793
09:19:06.427,80,24.3,-172,0.05,0.0212674867487031
09:19:07.427,80,24.3,-170,0.02,0.022203521902413
09:19:08.427,82,24.3,-170,0.10,0.023131416002729
09:19:09.427,83,24.3,-170,0.02,0.0240485807894197
09:19:10.427,83,24.3,-170,0.04,0.0249524712054131
09:19:11.427,83,24.3,-170,0.02,0.0258405956448427
09:19:12.427,83,24.3,-172,0.20,0.0267105259858651
09:19:13.427,83,24.3,-173,0.05,0.0275599073678498
09:19:14.427,84,23.9,-173,0.09,0.0283864676735716
09:19:15.427,85,23.9,-174,0.12,0.0291880266782251
09:19:16.427,86,23.6,-175,0.17,0.0299625048284198
09:19:17.427,87,23.6,-176,0.19,0.0307079316158086
09:19:18.427,87,23.4,176,0.29,0.0314224535116286
09:19:19.427,88,23.4,174,0.18,0.0321043414302076
09:19:20.427,89,23.4,169,0.31,0.0327519976913819
09:19:21.427,89,23.4,166,0.28,0.0333639624537901
09:19:22.427,89,23.5,165,0.24,0.0339389195931396
09:19:23.427,89,23.5,-164,0.23,0.0344757020017738
09:19:24.427,89,23.5,-162,0.22,0.0349732962882036
09:19:25.427,90,23.5,-163,0.08,0.0354308468576765
09:19:26.427,91,23.5,-164,0.08,0.0358476593573551
09:19:27.427,92,23.5,-172,0.34,0.0362232034722309
09:19:28.427,93,23.5,-176,0.24,0.0365571150605154
09:19:29.427,93,23.5,-176,0.09,0.0368491976199109
09:19:30.427,94,23.5,-175,0.02,0.0370994230788557
09:19:31.427,98,23.5,-173,0.04,0.0373079319095584
09:19:32.427,101,23.4,-171,0.08,0.0374750325623659
09:19:33.427,97,23.4,-172,0.13,0.0376012002237427
09:19:34.427,94,23.3,-172,0.14,0.0376870749028628
09:19:35.427,92,23.3,-168,0.09,0.0377334588545186
09:19:36.427,91,23.0,-168,0.04,0.037741313348724
09:19:37.427,89,23.0,-169,0.05,0.0377117548000192
09:19:38.427,89,22.8,-169,0.12,0.0376460502720635
09:19:39.427,89,22.8,-168,0.19,0.0375456123756175
09:19:40.427,89,20.5,-170,0.11,0.0374119935804572
09:19:41.427,90,20.5,-170,0.18,0.0372468799641273
09:19:42.427,90,19.4,-168,0.17,0.037052084422701
09:19:43.427,91,19.4,-165,0.08,0.0368295393708882
09:19:44.427,92,18.6,-165,0.04,0.0365812889608827
09:19:45.427,91,18.6,-165,0.03,0.0363094808512836
09:19:46.427,88,18.3,-167,0.07,0.0360163575592314
09:19:47.427,84,18.3,-170,0.10,0.0357042474305835
09:19:48.427,82,18.2,-172,0.07,0.0353755552644868
09:19:49.427,84,18.2,-173,0.07,0.0350327526301007
09:19:50.427,86,18.5,-171,0.08,0.0346783679144599
09:19:51.427,88,18.5,-170,0.10,0.0343149761415528
09:19:52.427,89,19.1,-170,0.07,0.0339451886036083
09:19:53.427,89,19.1,-166,0.11,0.0335716423463437
09:19:54.427,90,19.8,-168,0.14,0.0331969895505124
09:19:55.427,90,19.8,-166,0.14,0.0328238868525081
09:19:56.427,90,20.9,-168,0.16,0.0324549846470277
09:19:57.427,92,20.9,-166,0.09,0.0320929164148672
09:19:58.427,94,22.4,-166,0.02,0.031740288118824
09:19:59.427,92,22.4,-167,0.04,0.0313996677104046
09:20:00.427,88,24.0,-166,0.14,0.03107357478959
09:20:01.427,88,24.0,-166,0.17,0.0307644704592963
09:20:02.427,88,24.9,-168,0.19,0.0304747474153812
09:20:03.427,90,24.9,-170,0.23,0.0302054902731103
09:20:04.427,91,26.0,-170,0.19,0.0299564711997937
09:20:05.427,92,26.0,-168,0.23,0.029727380871181
09:20:06.427,93,27.3,-168,0.24,0.0295178297170003
09:20:07.427,94,27.3,-169,0.24,0.0293273494896207
09:20:08.427,96,28.5,-170,0.25,0.0291553951495198
09:20:09.427,97,28.5,-170,0.27,0.0290013470599661
09:20:10.427,98,29.8,-169,0.26,0.0288645134820767
09:20:11.427,92,29.8,-168,0.24,0.0287441333602061
09:20:12.427,89,31.0,-169,0.22,0.0286393793864486
